system_time_iso,frame_number,num_tlvs,tlv_types_hex,vital_count,total_packet_len
2026-06-02T15:52:15.643,95,4,0x3fc;0x3f2;0x3f3;0x3fd,0,233
2026-06-02T15:52:15.643,96,5,0x3fc;0x3f2;0x3f3;0x3fd;0x410,1,361
2026-06-02T15:52:15.643,97,4,0x3fc;0x3f2;0x3f3;0x3fd,0,241
2026-06-02T15:52:15.845,98,4,0x3fc;0x3f2;0x3f3;0x3fd,0,284
2026-06-02T15:52:15.845,99,4,0x3fc;0x3f2;0x3f3;0x3fd,0,265
2026-06-02T15:52:16.046,100,4,0x3fc;0x3f2;0x3f3;0x3fd,0,230
2026-06-02T15:52:16.046,101,4,0x3fc;0x3f2;0x3f3;0x3fd,0,234
2026-06-02T15:52:16.249,102,4,0x3fc;0x3f2;0x3f3;0x3fd,0,243
2026-06-02T15:52:16.249,103,4,0x3fc;0x3f2;0x3f3;0x3fd,0,244
2026-06-02T15:52:16.249,104,4,0x3fc;0x3f2;0x3f3;0x3fd,0,260
2026-06-02T15:52:16.452,105,4,0x3fc;0x3f2;0x3f3;0x3fd,0,238
2026-06-02T15:52:16.452,106,4,0x3fc;0x3f2;0x3f3;0x3fd,0,227
2026-06-02T15:52:16.654,107,4,0x3fc;0x3f2;0x3f3;0x3fd,0,234
2026-06-02T15:52:16.654,108,4,0x3fc;0x3f2;0x3f3;0x3fd,0,235
2026-06-02T15:52:16.856,109,4,0x3fc;0x3f2;0x3f3;0x3fd,0,235
2026-06-02T15:52:16.856,110,4,0x3fc;0x3f2;0x3f3;0x3fd,0,291
2026-06-02T15:52:17.058,111,4,0x3fc;0x3f2;0x3f3;0x3fd,0,258
2026-06-02T15:52:17.058,112,5,0x3fc;0x3f2;0x3f3;0x3fd;0x410,1,397
2026-06-02T15:52:17.059,113,4,0x3fc;0x3f2;0x3f3;0x3fd,0,229
2026-06-02T15:52:17.261,114,4,0x3fc;0x3f2;0x3f3;0x3fd,0,226
2026-06-02T15:52:17.261,115,3,0x3f2;0x3f3;0x3fd,0,182
2026-06-02T15:52:17.478,116,2,0x3f2;0x3fd,0,172
2026-06-02T15:52:17.478,117,3,0x3fc;0x3f2;0x3fd,0,272
2026-06-02T15:52:17.693,118,4,0x3fc;0x3f2;0x3f3;0x3fd,0,225
2026-06-02T15:52:17.693,119,4,0x3fc;0x3f2;0x3f3;0x3fd,0,233
2026-06-02T15:52:17.693,120,4,0x3fc;0x3f2;0x3f3;0x3fd,0,243
2026-06-02T15:52:17.895,121,4,0x3fc;0x3f2;0x3f3;0x3fd,0,220
2026-06-02T15:52:17.895,122,4,0x3fc;0x3f2;0x3f3;0x3fd,0,217
2026-06-02T15:52:18.111,123,4,0x3fc;0x3f2;0x3f3;0x3fd,0,289
2026-06-02T15:52:18.111,124,3,0x3f2;0x3f3;0x3fd,0,190
2026-06-02T15:52:18.313,125,3,0x3fc;0x3f2;0x3fd,0,232
2026-06-02T15:52:18.313,126,4,0x3fc;0x3f2;0x3f3;0x3fd,0,228
2026-06-02T15:52:18.516,127,4,0x3fc;0x3f2;0x3f3;0x3fd,0,346
2026-06-02T15:52:18.516,128,5,0x3fc;0x3f2;0x3f3;0x3fd;0x410,1,505
2026-06-02T15:52:18.516,129,3,0x3f2;0x3f3;0x3fd,0,197
2026-06-02T15:52:18.718,130,2,0x3f2;0x3fd,0,172
2026-06-02T15:52:18.718,131,3,0x3fc;0x3f2;0x3fd,0,216
