system_time_iso,elapsed_s,frame_number,target_id,range_bin,breathing_deviation,heart_rate_raw_bpm,breathing_rate_raw_bpm,heart_rate_filtered_bpm,breathing_rate_filtered_bpm,filter_valid,filter_reason,parser_variant,tlv_length,heart_circular_buffer_json,breath_circular_buffer_json
2026-06-02T14:48:59.136,1.240,32,0,35,0.001695,61.942,21.763,61.942,21.763,1,ok,u16_id_range_primary,136,"[0.029764460027217866,0.029764460027217866,0.029764460027217866,0.029764460027217866,0.029764460027217866,0.04287973940372467,0.1394607588648796,-0.12916795760393143,-0.2965384855866432,0.2733232244849205,0.4686551555991173,0.1530977353453636,-0.3063040807843208,-0.47792346626520155,-0.016304923593997954]","[-0.030372185508410136,-0.030372185508410136,-0.030372185508410136,-0.030372185508410136,-0.030372185508410136,0.005147071679433186,0.11556036969025929,0.13658361335595448,0.11149664421876271,0.015393154819806416,-0.05545256833235423,-0.047875327865282695,-0.03499881724516551,-0.03621224860350291,-0.05778096417586009]"
2026-06-02T14:49:00.583,2.687,48,0,35,0.001760,60.268,13.393,61.084,17.476,1,ok,u16_id_range_primary,136,"[0.007043148949742317,0.09784258771687745,-0.15107286851853133,-0.312273764424026,0.22064868230372667,0.4064891399815679,0.12306613344699144,-0.319818907789886,-0.5047868428751826,-0.05541163068264723,0.43997598309069874,0.2770741941407323,-0.15969040375202895,-0.0604393495246768,-0.00864610206335783]","[0.018521306415398918,0.1225262147684892,0.1412342203160127,0.11749303465088208,0.024677456667025886,-0.0424174057940642,-0.03084570045272509,-0.013982235143582026,-0.012282549093166987,-0.03283554191390673,-0.01777821655074755,-0.05038303012649218,-0.07004219169418018,-0.07646235699454944,-0.07742300505439441]"
2026-06-02T14:49:02.006,4.110,64,0,35,0.003468,65.290,11.719,62.598,15.404,1,ok,u16_id_range_primary,136,"[0.3894206121563911,0.10594098120927811,-0.33844889849424364,-0.5270847842097283,-0.07663948982954025,0.42505882531404493,0.2642559245228767,-0.17814849466085433,-0.08361548334360122,-0.029721924662590028,-0.1840663120150566,-0.20248735100030898,0.16305912882089615,0.3269976511597633,-0.05452038496732712]","[0.02462967534859975,0.036785565813382465,0.05444731613000234,0.05655714174111684,0.035812996824582416,0.050298654039700824,0.017505191763242084,-0.0021716723839441954,-0.008716232577959698,-0.009892023603121441,-0.02645973066488902,-0.08339112202326457,-0.10117376546065013,-0.06751141647497813,0.02327942152818044]"
2026-06-02T14:49:03.420,5.524,80,0,35,0.003632,65.290,10.045,63.380,13.846,1,ok,u16_id_range_primary,136,"[0.3906067743897438,0.23476888090372086,-0.22174154371023178,-0.1292301431298256,-0.06905456781387329,-0.22410698384046554,-0.2453061506152153,0.14153869301080704,0.2984623149037361,-0.10978077501058578,-0.41534908264875414,-0.3580396041274071,0.14575622826814652,0.5245205596089363,0.03695539981126785]","[0.04833082954088847,0.014491365353266401,-0.0058192749818166065,-0.013037606080373125,-0.01491139729817708,-0.03602696855862935,-0.09706146915753683,-0.11530689795811971,-0.07936103542645773,0.02157612244288127,0.09932316939036051,0.07451985875765482,0.033739254872004194,0.0163396159807841,0.053204433123270674]"
2026-06-02T14:49:04.836,6.940,96,0,35,0.004473,63.616,10.045,63.440,12.880,1,ok,u16_id_range_primary,136,"[-0.15488033493359885,-0.15572730203469595,0.10067945222059886,0.3773440072933833,0.08328431348005931,-0.4220569183429082,-0.42511684199174243,0.2242626796166102,0.6094310233990351,0.0728071282307307,-0.5017745544513067,-0.43410379191239673,0.2881665776173274,0.44259964923063916,-0.10491508742173512]","[-0.03188249866167704,-0.10152689019838969,-0.13341391483942666,-0.10140470067660014,-0.002516065041224161,0.07229622801144918,0.05559795697530111,0.0196678896745046,0.007341678937276205,0.04446211059888204,0.018505539496739706,-0.04200694362322489,-0.03263137141863505,0.011704232295354208,0.21580674846967063]"
2026-06-02T14:49:06.279,8.383,112,0,35,0.015956,61.942,10.045,63.091,12.219,1,ok,u16_id_range_primary,136,"[-0.453200368086497,-0.5117640773455302,0.24354657729466755,0.682680340607961,0.09440294106801352,-0.511575190226237,-0.4378602186838786,0.29292446573575337,0.4525247534116109,-0.09806942741076151,-0.32550236384073894,-0.35692596236864726,0.1943850537141164,0.5976101477940877,0.1368233283360799]","[-0.07018760045369467,-0.08482435544331869,-0.1203642209370931,-0.13156259258588154,-0.0923224707444509,-0.11730450590451559,-0.1789688487847646,-0.16991645296414692,-0.12542569835980732,0.07889073888460794,0.20583322445551555,0.2727794925371806,0.2550097088019053,0.2024647573630015,0.07589882413546244]"
2026-06-02T14:49:07.699,9.803,128,0,35,0.009707,63.616,8.370,63.207,11.369,1,ok,u16_id_range_primary,136,"[-0.4851600895325343,-0.410898960630099,0.3300286163886388,0.4900557627280553,-0.2297337124745051,-0.19951977531115214,0.29993154903252917,0.0955412616332372,-0.2065069446961085,0.013834722836812335,0.16965109904607137,0.18094719250996907,-0.023810617129007977,0.17387782831986745,-0.19823793272177379]","[-0.10266263087590535,-0.16549498637517293,-0.157045312722524,-0.13552428086598714,-0.12782556613286336,-0.09034056266148885,-0.011671729882558185,0.04435264269510905,0.09652977387110392,0.0756790558497111,0.051957301298777264,-0.005995683868726093,0.00895155171553294,0.211771688858668,0.3073187390963237]"
2026-06-02T14:49:09.134,11.238,144,0,35,0.015080,61.942,8.370,62.937,10.731,1,ok,u16_id_range_primary,136,"[-0.2515036771694819,0.2551055540641149,0.04545941849549612,-0.2592518041531245,-0.03580325941244761,0.11835440893967947,0.13901938398679098,-0.08057418564955393,0.11773547430833181,-0.2338524470726649,-0.8419538150231044,0.16606956621011099,1.2167289843161901,0.5059273829062779,-0.8614609847466151]","[-0.12193710009256999,-0.041560653845469156,0.014370795090993246,0.06810307105382284,0.04479211171468099,0.020888279875119528,-0.03806470731894175,-0.025827829043070474,0.17811795671780906,0.2744467814763387,0.21054946978886924,0.034536596139272055,-0.13050890366236367,-0.20572948853174844,-0.2821763793627421]"
2026-06-02T14:49:10.578,12.682,160,0,32,0.021406,61.942,6.696,62.937,10.731,0,transient_bin_jump_gating,u16_id_range_primary,136,"[-0.6533233155806859,-0.03348776002724965,0.37981290320555366,0.23296295801798503,-0.10152555306752523,-0.2020659973224004,-0.04035743375619252,0.2262213150660197,0.3249090681473414,-0.23816113968690236,-0.5595177640517552,0.05526027778784434,0.5716297994057338,0.25298140148321785,-0.2153387596209844]","[-0.01382186114788056,0.017921903729438776,0.08782873451709747,0.15781388580799102,0.20317704379558563,0.16903551816940307,0.06126789152622222,-0.023343643546104437,-0.019419214129447943,-0.03456850945949555,-0.07826759517192841,-0.13835754096508027,-0.16985418498516083,-0.13421549499034882,-0.08519693315029145]"
2026-06-02T14:49:12.011,14.114,176,0,32,0.013863,63.616,6.696,62.937,10.731,0,transient_bin_jump_gating,u16_id_range_primary,136,"[-0.24679799179236095,-0.07295927206675212,0.1926928182442983,0.31766316493352253,-0.21611928741137187,-0.5978358666102092,-0.022179631392161052,0.5433406551678975,0.24728951056798298,-0.2752343992392222,-0.3036199490229289,-0.12790860037008922,0.004318149884541829,0.3134495933850606,0.24390110572179158]","[0.19774557190636793,0.09763697820405165,0.012627343709270163,0.021116438383857412,0.009870338315765066,-0.03272128564616044,-0.09480034274359544,-0.125716728096207,-0.09179165301223596,-0.04674830188353856,0.015770617003242178,0.025331567103664084,-0.016389285152157144,0.004500846440593405,0.023567895467082663]"
