system_time_iso,elapsed_s,frame_number,target_id,range_bin,breathing_deviation,heart_rate_raw_bpm,breathing_rate_raw_bpm,heart_rate_filtered_bpm,breathing_rate_filtered_bpm,filter_valid,filter_reason,parser_variant,tlv_length,heart_circular_buffer_json,breath_circular_buffer_json
2026-06-02T14:23:52.810,1.225,32,0,15,0.004864,50.223,21.763,,,1,warming_up_1/3,u16_id_range_primary,136,"[0.0,0.0,0.0,0.0,0.0,-0.012854120694100857,-0.11503996700048447,0.11705814301967621,0.38431403040885925,-0.10112658143043518,-0.590933084487915,-0.178064227104187,0.40192052721977234,0.30577316880226135,-0.009553909301757812]","[0.0,0.0,0.0,0.0,0.0,-0.03520512580871582,-0.1614048182964325,-0.2277398705482483,-0.20059657096862793,-0.11110812425613403,-0.016963720321655273,0.08017992973327637,0.15211743116378784,0.18900632858276367,0.1829674243927002]"
2026-06-02T14:23:54.229,2.644,48,0,15,0.008219,50.223,15.067,,,1,warming_up_2/3,u16_id_range_primary,136,"[-0.014019637368619442,-0.12175364792346954,0.1300787329673767,0.4016379714012146,-0.1244485080242157,-0.6137142181396484,-0.16325092315673828,0.4179842472076416,0.3036535978317261,-0.011620670557022095,-0.007258772850036621,-0.15185751020908356,-0.314186155796051,0.23976245522499084,0.30937057733535767]","[-0.038319043815135956,-0.1704953908920288,-0.23729485273361206,-0.2092246413230896,-0.11793053150177002,-0.020908594131469727,0.07943177223205566,0.154466450214386,0.19384163618087769,0.18924152851104736,0.19404210150241852,0.05594456568360329,-0.08654968440532684,-0.181462362408638,-0.20393139123916626]"
2026-06-02T14:23:55.662,4.077,64,0,15,0.011404,50.223,16.741,50.223,16.741,1,ok,u16_id_range_primary,136,"[-0.5892722606658936,-0.1816117763519287,0.4007143974304199,0.3073190152645111,-0.009073019027709961,-0.011389315128326416,-0.14597295224666595,-0.30173587799072266,0.23415708541870117,0.2976793050765991,-0.24405214190483093,-0.23730647563934326,-0.025371968746185303,-0.0023078322410583496,0.21078388392925262]","[-0.016418933868408203,0.08063697814941406,0.1523505449295044,0.18895459175109863,0.1826891005039215,0.18355368077754974,0.0457119345664978,-0.09573708474636078,-0.18820832669734955,-0.2091953158378601,-0.13195019960403442,0.034178078174591064,0.16613972187042236,0.23734107613563538,0.19093990325927734]"
2026-06-02T14:23:57.082,5.497,80,0,15,0.013934,50.223,15.067,50.223,15.904,1,ok,u16_id_range_primary,136,"[-0.010419785976409912,-0.14880047738552094,-0.3033660650253296,0.2396710067987442,0.2912302017211914,-0.2589707374572754,-0.23276399075984955,-0.00013679265975952148,0.006927013397216797,0.18486517667770386,0.3290749192237854,0.29962801933288574,-0.35329318046569824,-0.7183177471160889,-0.028792262077331543]","[0.18430259823799133,0.042908161878585815,-0.09923332929611206,-0.19006647169589996,-0.20997494459152222,-0.13408774137496948,0.029571115970611572,0.16270321607589722,0.23587310314178467,0.18962949514389038,0.14062879979610443,0.13972240686416626,0.12588423490524292,0.11758768558502197,0.19199788570404053]"
2026-06-02T14:23:58.512,6.927,96,0,11,0.019710,61.942,15.067,50.223,15.067,1,ok,u16_id_range_primary,136,"[-0.2643934488296509,-0.23334942758083344,0.008305490016937256,0.01593703031539917,0.17825601994991302,0.31735438108444214,0.29533374309539795,-0.3453329801559448,-0.708163857460022,-0.028958380222320557,0.5174466371536255,-0.015125900506973267,-0.3032695949077606,0.3284439146518707,0.596908688545227]","[-0.13270574808120728,0.028261125087738037,0.16031014919281006,0.23370814323425293,0.18903560936450958,0.14073774218559265,0.13984760642051697,0.12624269723892212,0.1184125542640686,0.19371896982192993,0.3012586832046509,0.3310210704803467,0.21430730819702148,0.032501935958862305,-0.18717598915100098]"
2026-06-02T14:23:59.929,8.344,112,0,11,0.025213,51.897,16.741,50.223,15.904,1,ok,u16_id_range_primary,136,"[0.3085649609565735,0.29293763637542725,-0.33945322036743164,-0.7013176679611206,-0.02909374237060547,0.5114496946334839,-0.016110889613628387,-0.30005311965942383,0.3271535336971283,0.5971855521202087,-0.09396523237228394,-0.3634326756000519,-0.532636284828186,-0.6600317358970642,0.4430049657821655]","[0.14074404537677765,0.1399717628955841,0.12661629915237427,0.11919760704040527,0.19500255584716797,0.3018913269042969,0.3316913843154907,0.21424531936645508,0.032436370849609375,-0.18649959564208984,-0.29564356803894043,-0.18528318405151367,-0.09228181838989258,0.008495330810546875,0.12242388725280762]"
2026-06-02T14:24:01.346,9.761,128,0,11,0.026941,58.593,10.045,50.223,15.067,1,ok,u16_id_range_primary,136,"[0.48579534888267517,-0.026094432920217514,-0.2864188849925995,0.332370787858963,0.5935384631156921,-0.10478311777114868,-0.36581727862358093,-0.5119088888168335,-0.6487573981285095,0.4222145080566406,0.9666439294815063,0.25614064931869507,-0.24748682975769043,-0.30779868364334106,-0.1998460292816162]","[0.3034862279891968,0.3327028751373291,0.21379995346069336,0.03327584266662598,-0.18382525444030762,-0.2944744825363159,-0.18658125400543213,-0.09402263164520264,0.009241938591003418,0.12023258209228516,0.15448880195617676,0.18638432025909424,0.12920403480529785,0.0709841251373291,-0.042745351791381836]"
2026-06-02T14:24:02.980,11.394,144,0,11,0.043836,75.335,20.089,50.223,15.067,0,br_jump_10.04_to_20.09,u16_id_range_primary,136,"[-0.10240256786346436,-0.3660397529602051,-0.5155091881752014,-0.6502781510353088,0.42543554306030273,0.9704391360282898,0.25366371870040894,-0.2508384585380554,-0.3065911531448364,-0.1980927437543869,-0.26106148958206177,-0.04843783378601074,0.5547255277633667,0.401405394077301,-0.4014982581138611]","[-0.29471123218536377,-0.18633615970611572,-0.09362542629241943,0.009164810180664062,0.12048494815826416,0.15491604804992676,0.18681907653808594,0.12966132164001465,0.07089519500732422,-0.04275655746459961,-0.24690866470336914,-0.4413011074066162,-0.533903956413269,-0.46578484773635864,-0.3583548963069916]"
2026-06-02T14:24:04.408,12.823,160,0,11,0.048473,50.223,20.089,50.223,15.067,0,br_jump_10.04_to_20.09,u16_id_range_primary,136,"[0.9670190811157227,0.25278085470199585,-0.24651551246643066,-0.3032189607620239,-0.20068241655826569,-0.26571744680404663,-0.04657769203186035,0.5573027729988098,0.39929303526878357,-0.4022975265979767,-0.5771368741989136,0.0009981393814086914,0.38603851199150085,0.5791457295417786,-0.028933167457580566]","[0.1549617052078247,0.18639612197875977,0.12899160385131836,0.07074904441833496,-0.0429840087890625,-0.2471175193786621,-0.4410254955291748,-0.5334386825561523,-0.46567660570144653,-0.3584889769554138,-0.2060784101486206,-0.22310388088226318,-0.1890726089477539,-0.18960285186767578,-0.12943530082702637]"
2026-06-02T14:24:05.844,14.259,176,0,18,0.045487,75.335,20.089,50.223,15.067,0,br_jump_10.04_to_20.09,u16_id_range_primary,136,"[-0.2568698525428772,-0.046609580516815186,0.5546756982803345,0.39865338802337646,-0.40431660413742065,-0.5758601427078247,0.0015349388122558594,0.38244935870170593,0.5800728797912598,-0.02234041690826416,-0.47071006894111633,-0.5122721791267395,0.08111882209777832,0.5247005224227905,0.14640316367149353]","[-0.24702191352844238,-0.441448450088501,-0.5338883399963379,-0.46700945496559143,-0.3597676157951355,-0.20632457733154297,-0.22249865531921387,-0.18855035305023193,-0.18845045566558838,-0.12832939624786377,-0.07005476951599121,-0.07782149314880371,-0.01931166648864746,0.03703808784484863,0.17749357223510742]"
