system_time_iso,elapsed_s,frame_number,target_id,range_bin,breathing_deviation,heart_rate_raw_bpm,breathing_rate_raw_bpm,heart_rate_filtered_bpm,breathing_rate_filtered_bpm,filter_valid,filter_reason,parser_variant,tlv_length,heart_circular_buffer_json,breath_circular_buffer_json
2026-06-02T15:52:09.928,1.240,32,0,15,0.038990,50.223,23.437,50.223,23.437,1,ok,u16_id_range_primary,136,"[0.00042455289512872697,0.00042455289512872697,0.00042455289512872697,0.00042455289512872697,0.00042455289512872697,0.015406851842999458,0.1602897236123681,0.056718427874147895,-0.6370920648798346,-0.3491067996248603,0.633543480373919,0.7898662576451898,0.0275888929143548,-0.4384375324472785,-0.26090000178664924]","[-0.1464807040989399,-0.1464807040989399,-0.1464807040989399,-0.1464807040989399,-0.1464807040989399,-0.10610048323869706,0.10880673453211784,0.3780520908534527,0.547204589098692,0.5453465931117535,0.37520346567034724,0.1261499874293804,-0.2234632022678852,-0.4288975246250629,-0.5898987300693989]"
2026-06-02T15:52:11.356,2.668,48,0,15,0.072113,50.223,16.741,50.223,20.745,1,ok,u16_id_range_primary,136,"[-0.005546344195803007,0.14087599075088897,0.03215811705837647,-0.6632876589273413,-0.36524929547061524,0.6193969652677576,0.7661943242574731,-0.00042058968295653754,-0.4593551948045691,-0.27633901381244264,-0.5510195090745886,-0.19851477884997926,0.5579419538999597,0.42046744680653014,-0.017302413222690424]","[0.036085266868273416,0.25269433508316674,0.5224546457330386,0.6912691260377566,0.6889176035920779,0.5180198813478152,0.2679183150331179,-0.0840308999021848,-0.29025867929061255,-0.45218590249617896,-0.5550620888670286,-0.5442910527189573,-0.4837979411085447,-0.34514990796645484,-0.22258270134528477]"
2026-06-02T15:52:12.770,4.082,64,0,15,0.075102,56.919,18.415,52.272,20.032,1,ok,u16_id_range_primary,136,"[0.5976730316877366,0.7244513958692551,-0.05041971504688263,-0.4959355264902115,-0.30258352756500245,-0.594604280591011,-0.23907580673694612,0.5302715629339219,0.38246685564517974,-0.06022262275218963,-0.18230747878551484,-0.09123313128948211,-0.3513681560754776,-0.23900797665119172,0.37189537584781646]","[0.6505368535717329,0.39838798691829047,0.04208334137996038,-0.1656011755267779,-0.3291031534473101,-0.43297831366459527,-0.42014376471439996,-0.3572431022922198,-0.2156894619266192,-0.09141872475544612,0.08106716324885686,0.19469222029050193,0.20446241249640784,0.19805147101481757,0.2428962474068006]"
2026-06-02T15:52:14.199,5.511,80,0,15,0.077505,75.335,16.741,58.157,19.192,1,ok,u16_id_range_primary,136,"[-0.5335639625787735,-0.174690118432045,0.5980731338262558,0.44020129144191744,-0.004445156455039978,-0.11443882286548615,-0.023080697655677794,-0.29984321296215055,-0.18623842895030976,0.4410706847906113,0.15394605100154876,-0.47103225290775297,0.05423788130283356,0.35801167190074923,-0.2382080614566803]","[-0.47442848185698194,-0.460857696334521,-0.3974447915951411,-0.25648910502592726,-0.13316003183523814,0.04019866188367208,0.155509286125501,0.16631915469964345,0.1603400041659673,0.20421659251054128,0.21254199047883351,0.19704156418641408,0.24713789721330007,0.2082692911227544,0.13080566426118215]"
2026-06-02T15:52:15.643,6.954,96,0,15,0.046113,50.223,16.741,56.610,18.714,1,ok,u16_id_range_primary,136,"[-0.002012720704078673,0.07540542781352996,-0.2525306552648544,-0.20495419800281525,0.40343026220798495,0.13860730230808258,-0.4558152467012405,0.08930695950984954,0.4027163177728653,-0.18847595751285554,0.022286736965179445,0.3788109213113785,-0.09716781079769135,-0.3729160040616989,0.06330866515636444]","[0.09111678401629131,0.1832336167494456,0.17477848927179973,0.15388825337092082,0.18538012901941936,0.18540754715601604,0.16497185627619426,0.21091809670130413,0.1678673307100932,0.08579280773798625,-0.03226682742436727,-0.14331230719884236,-0.28630241950352986,-0.5008287747701009,-0.6406445821126302]"
2026-06-02T15:52:17.058,8.370,112,0,15,0.115930,50.223,11.719,55.075,17.033,1,ok,u16_id_range_primary,136,"[0.16024848818778992,-0.5786992609500885,-0.09861099720001221,0.3554166555404663,-0.05909496545791626,0.18304181098937988,0.46270376443862915,-0.09507858753204346,-0.37892162799835205,0.0499131977558136,0.38371214270591736,0.15533795952796936,-0.2736857235431671,-0.43699756264686584,0.17071470618247986]","[0.4751426378885905,0.45436445871988934,0.47571269671122235,0.40159932772318524,0.2849469582239787,0.1426880757013957,0.009119788805643722,-0.15037067731221515,-0.3783467610677083,-0.5307284792264303,-0.5872988899548849,-0.43654223283131915,-0.22774394353230792,-0.04762955506642659,0.11508659521738689]"
2026-06-02T15:52:18.516,9.828,128,0,15,0.126320,50.223,16.741,53.978,16.967,1,ok,u16_id_range_primary,136,"[0.13629652559757233,0.4237249344587326,-0.13200025260448456,-0.42589856684207916,0.003671899437904358,0.34531269967556,0.11315195262432098,-0.31774432957172394,-0.47578026354312897,0.1307912915945053,0.6592635363340378,0.37464241683483124,-0.25067050755023956,-0.34751345217227936,-0.23724788427352905]","[0.13242321809132895,-0.0011350552241007478,-0.16105956236521402,-0.39002949396769204,-0.5421026984850565,-0.59882599512736,-0.4482660929361979,-0.2396709362665812,-0.058613006273905435,0.10397868951161703,0.22280436356862388,0.33136492570241294,0.4470412095387777,0.5475491841634115,0.6545412500699361]"
2026-06-02T15:52:19.934,11.245,144,0,15,0.114853,50.223,15.067,53.216,16.581,1,ok,u16_id_range_primary,136,"[0.3041232903798421,-0.015543214480082196,-0.577423624197642,-0.6448986450831096,0.12638665040334066,0.689533003171285,0.4004963119824727,-0.23359488646189372,-0.38793825308481855,-0.3321733097235362,-0.25705417195955915,-0.11164431969324748,0.5397828896840413,0.7247437318166097,-0.2247954527537028]","[-0.6768849611282348,-0.522758674621582,-0.3273798942565918,-0.16864461898803712,-0.0344249725341797,0.05617647171020507,0.13898210525512694,0.232611346244812,0.3144071578979492,0.4078031063079834,0.3459630489349365,0.17365198135375975,-0.004453372955322277,-0.0013973236083984486,0.06634860038757323]"
2026-06-02T15:52:21.344,12.656,160,0,15,0.069308,50.223,15.067,52.728,16.334,1,ok,u16_id_range_primary,136,"[0.20916033486525218,0.278117902080218,-0.2558485200007756,-0.3468634118636449,-0.16981849869092305,-0.1599294771750768,-0.19206949373086293,0.3980433414379756,0.6053746114174525,-0.317633115251859,-1.113592826326688,-0.6434375872214635,0.3490701089302699,0.8054665098587672,0.5539601216713588]","[-0.01848820845286052,0.013608833154042557,0.08089982469876607,0.15706898768742877,0.2633038063844045,0.22459610303243,0.08055814107259114,-0.06905416647593181,-0.04038290182749431,0.050161798795064286,0.17537673314412433,0.12286074956258138,-0.05746738115946452,-0.37776533762613934,-0.6052769819895426]"
2026-06-02T15:52:22.777,14.089,176,0,15,0.088058,55.245,15.067,53.172,16.111,1,ok,u16_id_range_primary,136,"[0.4199019312858582,0.15443780422210693,0.4514498353004456,0.6323278784751892,-0.3767931222915649,-1.249568796157837,-0.6726082324981689,0.45339741706848147,0.9434603691101074,0.6948527336120606,0.0025366783142089858,-0.9292166590690613,-0.9009358048439026,-0.06982574462890626,0.4465837121009827]","[0.4510126173496246,0.37803382277488706,0.27165875434875486,0.3168938815593719,0.4050558269023895,0.5141598641872406,0.4375272452831268,0.22648031115531922,-0.12193697094917297,-0.3735887348651886,-0.5396003067493439,-0.5949317753314972,-0.5674147546291352,-0.4699543654918671,-0.3333954155445099]"
2026-06-02T15:52:24.411,15.723,192,0,15,0.098154,55.245,18.415,53.547,16.528,1,ok,u16_id_range_primary,136,"[-1.2006204764048258,-0.7503029743830363,0.36684041817982993,1.0100743134816488,0.8684285839398702,0.16805618604024253,-0.7948007623354594,-0.7901892105738322,-0.004947368303934732,0.47306257088979087,0.41777491172154746,0.27647593220074973,0.13145398696263633,0.008607562383015951,-0.1799136737982432]","[0.7788538118203481,0.6927560945351918,0.4579517026742299,0.0805970807870229,-0.2004729131857554,-0.39546545545260114,-0.47647293607393904,-0.4704799274603526,-0.3876447896162669,-0.2609488884607951,-0.13185324470202128,-0.035727761189142865,0.04293755491574605,0.12080482443173726,0.1851648469765981]"
2026-06-02T15:52:25.830,17.141,208,0,15,0.093782,55.245,13.393,53.846,15.977,1,ok,u16_id_range_primary,136,"[0.16080318888028464,-0.8163996438185374,-0.8015075425306956,-0.004820833603541054,0.46353184183438617,0.39663659532864887,0.26194225748380023,0.12547274430592856,0.005973090728123985,-0.18950135509173074,-0.31634552280108136,-0.07562286655108133,0.21669047077496847,0.36025433739026386,0.21289323767026266]","[-0.33306097785631816,-0.4153000096480052,-0.4110914448897044,-0.32826244632403057,-0.2010481635729472,-0.07139587203661601,0.02443868120511372,0.10302913387616475,0.18200767238934834,0.24789273937543232,0.2844223399957021,0.27970093687375386,0.24428892334302266,0.21193903883298237,0.18243944843610127]"
2026-06-02T15:52:27.244,18.556,224,0,15,0.100358,55.245,13.393,54.096,15.515,1,ok,u16_id_range_primary,136,"[0.36345441937446593,0.23673719465732573,0.09957446455955506,-0.02171878218650818,-0.2168212652206421,-0.343902450799942,-0.10610530972480774,0.1854299485683441,0.33177928924560546,0.18766703009605407,-0.04610527753829956,-0.04141886234283447,-0.1729498475790024,-0.5196716606616973,0.06405110955238343]","[-0.3264486829439799,-0.23013222614924111,-0.15081847111384072,-0.07159352699915568,-0.004993085066477457,0.03202801545461019,0.028019901116689047,-0.007618610064188638,-0.040425423781077066,-0.07055229345957438,-0.035418633619944254,0.1264229973157247,0.2551803549130758,0.27167713244756064,0.22467255194981894]"
2026-06-02T15:52:28.663,19.975,240,0,8,0.107428,53.571,13.393,54.096,15.515,0,transient_bin_jump_gating,u16_id_range_primary,136,"[-0.3042324721813202,-0.07179763317108154,0.2127156913280487,0.3569088339805603,0.22144917249679566,-0.007922405004501344,-0.005578005313873292,-0.143983656167984,-0.4928575992584229,0.10078964233398438,0.8988951802253723,0.5030536413192749,-0.46388342380523684,-0.8260717034339905,0.022514736652374266]","[-0.07323531111081441,-0.07630918224652608,-0.11159048279126485,-0.1443824549516042,-0.17456577022870381,-0.14009050329526265,0.02248423496882121,0.14984556237856547,0.16545423070589702,0.1186756710211436,0.06596036950747172,0.12644251386324565,0.12439390222231547,0.04211684266726176,-0.09519962271054586]"
2026-06-02T15:52:30.092,21.403,256,0,25,0.100100,73.660,13.393,54.096,15.515,0,transient_bin_jump_gating,u16_id_range_primary,136,"[-0.024733875195185342,-0.024396185080210367,-0.15944768885771432,-0.5142929295698802,0.07361611326535543,0.8778869767983755,0.489870156844457,-0.48701826135317483,-0.8469307760397593,0.00909211834271749,0.7244519849618276,0.4086014290650686,-0.26464489499727883,-0.3221437672773997,0.06008959909280141]","[-0.045482184489568075,0.11710066000620524,0.244312975804011,0.2598031500975291,0.21258524457613626,0.16026166478792825,0.22071841756502786,0.21841076413790383,0.13644460240999856,0.0005281309286753327,-0.1256796975930532,-0.2235955854256948,-0.3173942228158315,-0.4093751569588979,-0.4486387630303701]"
2026-06-02T15:52:31.512,22.824,272,0,25,0.103874,73.660,13.393,54.096,15.515,0,transient_bin_jump_gating,u16_id_range_primary,136,"[0.8107704192399978,0.4232440859079361,-0.5550277560949326,-0.9138837188482285,-0.05683902204036713,0.6568212777376174,0.34057739078998567,-0.33224317729473113,-0.3894009917974472,-0.006186965107917788,0.12451146245002746,-0.08682693839073181,-0.14660985320806502,0.0387543186545372,0.09233946800231933]","[0.34727572004000345,0.4077449897925059,0.4054210046927134,0.32352946798006693,0.18777154485384623,0.061806188027064,-0.03580810030301412,-0.12954212625821432,-0.22163535555203756,-0.2609132667382558,-0.2630421062310537,-0.243231072028478,-0.22723366220792135,-0.18699793418248495,-0.1651452918847402]"
2026-06-02T15:52:32.930,24.242,288,0,42,0.069788,73.660,13.393,54.096,15.515,0,range_out_of_bounds_1.68m,u16_id_range_primary,136,"[0.6578979360560576,0.3409692513446013,-0.33292315726478894,-0.3893889618416627,-0.004707021762927373,0.1259773540000121,-0.08825320949157078,-0.14871692483623822,0.0399836095670859,0.09445828373233478,-0.052121667315562566,-0.08113504027326901,-0.14574212407072384,-0.09234092210729916,0.07604259426395099]","[0.19191837509473164,0.09457302292188008,0.001077415545781446,-0.09121703902880351,-0.13029956618944805,-0.13203131953875225,-0.11216270724932353,-0.09629934827486675,-0.05606004397074382,-0.03439986507097881,0.01356578071912129,0.05530905922253926,0.07356739242871602,0.09532582958539326,0.12713301380475361]"
2026-06-02T15:52:34.357,25.669,304,0,42,0.045337,73.660,18.415,54.096,15.515,0,range_out_of_bounds_1.68m,u16_id_range_primary,136,"[0.15888530860344569,-0.061879503478606546,-0.12489250202973684,0.07407108793656031,0.12922331045071284,-0.025917938848336538,-0.054612106581528985,-0.11510722239812216,-0.06176765163739523,0.10563542793194453,0.040181581924359,-0.11951737006505331,0.010292106370131174,0.10539645800987879,-0.05999098618825277]","[-0.18163697520891825,-0.16243176261583964,-0.1473670462767283,-0.1076004962126414,-0.08654691378275553,-0.0387455681959788,0.002872123320897424,0.02113993366559347,0.042990042765935266,0.07492585380872091,0.09087891777356466,0.09755833347638448,0.11097164352734884,0.13196797569592794,0.15102393825848898]"
2026-06-02T15:52:35.772,27.084,320,0,8,0.041053,73.660,8.370,54.096,15.515,0,transient_bin_jump_gating,u16_id_range_primary,136,"[-0.008965409360826015,-0.037564209662377834,-0.09698115196079016,-0.043666101060807705,0.12343622092157602,0.05820791516453028,-0.10152096208184958,0.02792519424110651,0.12313967291265726,-0.04199771489948034,-0.09933217521756887,0.02000859472900629,0.06735645327717066,0.012824407778680325,-0.00287073478102684]","[-0.15150943597157795,-0.10983213980992634,-0.09146270354588826,-0.0694967230161031,-0.037449570496877034,-0.021365495522816975,-0.014598222573598225,-0.0011143406232198075,0.01997580925623576,0.03916683594385783,0.059242037932078044,0.07300141255060832,0.09187498490015666,0.09967377583185832,0.11389377514521282]"
2026-06-02T15:52:37.195,28.507,336,0,32,0.022999,53.571,11.719,54.096,15.515,0,transient_bin_jump_gating,u16_id_range_primary,136,"[-0.018833242480953534,-0.16369406146307786,0.028230778748790424,0.15171592670182388,-0.029993876939018567,-0.08537105483313402,0.02568513887623946,0.03155477332572142,-0.024702062954505284,-0.027460802470644315,-0.006444357459743818,-0.004839934532841047,0.02246739702920119,-0.021424207960565884,0.12310958641270796]","[-0.06855668226877848,-0.06996251742045084,-0.061103479067484534,-0.04406906763712565,-0.03068544069925944,-0.01206971804300944,-0.002036348978678385,0.01571939786275228,0.02560888131459554,0.03916285832722982,0.03784738381703695,0.044503136475880944,0.018796189626057943,0.04485170443852743,0.061993702252705896]"
2026-06-02T15:52:38.624,29.935,352,0,25,0.040951,53.571,8.370,54.096,15.515,0,transient_bin_jump_gating,u16_id_range_primary,136,"[-0.12859343687693278,0.09346476991971334,0.03356049259503682,-0.2018222431341807,0.31675682266553246,0.5045757671197255,-0.5642761806646983,-0.9906876305739085,0.26122186382611595,1.0892607947190602,0.1470830221970876,-0.9777094940344493,-0.42502858440081276,0.5364573975404103,0.30573663910230003]","[0.07037652333577474,0.07691846092542012,-0.0014888266722361265,-0.18465816179911296,-0.2384270946184794,-0.1958972732226054,-0.16662686268488566,-0.2320756236712138,-0.27980797688166303,-0.15175097386042277,0.010242052872975665,0.15863663752873738,0.2808967312177022,0.3993659694989522,0.4542964180310567]"
2026-06-02T15:52:40.233,31.545,368,0,25,0.047452,51.897,10.045,54.096,15.515,0,transient_bin_jump_gating,u16_id_range_primary,136,"[0.555041278898716,-0.4981245145201683,-0.9461570724844932,0.2861559048295021,1.1232946768403054,0.19367464929819106,-0.917258833348751,-0.36783597320318223,0.5640891447663308,0.32803940325975417,-0.18450306802988053,0.036232593655586245,0.1088248297572136,-0.19268739670515062,-0.08878562301397323]","[-0.36059446036815646,-0.32923741042613985,-0.39240176379680636,-0.43693835437297823,-0.3091076105833054,-0.14942652881145477,-0.0005055159330367986,0.12432186901569367,0.2451009064912796,0.3023840695619583,0.3203979045152664,0.3214211970567703,0.28639607727527616,0.22115006148815156,0.1570395588874817]"
2026-06-02T15:52:41.664,32.976,384,0,25,0.003319,51.897,16.741,51.897,16.741,1,filter_lockout_recovery_reset,u16_id_range_primary,136,"[0.01791252170999845,-0.09289483750859896,-0.18261723245183628,0.14943039392431576,0.1896670011182626,-0.129977002988259,-0.010382246474424999,0.12459673707683881,-0.0820774811009566,-0.06702101255456606,0.1260899302860101,0.037201165904601416,-0.08948929632703463,-0.039348177860180536,0.0489095372458299]","[-0.013395475347836812,-0.010149018963177998,-0.009599136312802632,0.018744123975435893,0.022896451751391093,0.022861106197039287,0.033906100193659465,0.028753591577212016,0.006056306759516399,-0.010713243981202443,-0.018628193189700444,-0.015156058718760808,-0.0053076689441998795,-0.020120697220166524,-0.030148187776406606]"
2026-06-02T15:52:43.079,34.391,400,0,25,0.000582,83.705,10.045,51.897,16.741,0,hr_jump_51.90_to_83.71,u16_id_range_primary,136,"[-0.13052166203657786,-0.0021214927236239117,0.13055322368939717,-0.07769133100907008,-0.05965948055187861,0.13267446358998616,0.03692065974076589,-0.0889510730902354,-0.03353675405184428,0.055475816627343494,0.12648115356763204,0.039225079615910846,-0.05949101547400157,-0.05798908273379008,-0.011368505160013835]","[0.04109475711981456,0.05167603443066279,0.04519146258632342,0.020858190457026166,0.0033158803979555767,-0.004695080717404683,-0.0010740389426549275,0.009195766846338908,-0.006203957398732503,-0.016448863347371417,-0.027937762935956317,-0.03312329997618993,-0.026899219055970508,-0.031312820067008335,-0.023637049396832782]"
2026-06-02T15:52:44.513,35.825,416,0,25,0.002326,73.660,10.045,58.422,14.733,1,ok,u16_id_range_primary,136,"[0.10759355003635089,-0.007117503633101781,-0.12323980902632077,-0.042842054118712745,0.05318461234370867,0.12698723996678987,0.022939166675011318,-0.09541092937191327,-0.09596099083622296,-0.03548827891548475,0.062032884607712425,0.07354517901937167,-0.04932506879170736,-0.1029767853518327,0.1060787873963515]","[0.011504952361186347,0.014581274737914405,0.024817880739768348,0.005243801077206931,-0.008172746251026788,-0.022342185924450555,-0.02899962986509005,-0.022714059303204217,-0.029618303726116815,-0.02528033728400866,-0.014826628814140954,0.015614171077807746,0.02096120690306028,0.021569703270991645,0.03766090100010236]"
