system_time_iso,frame_number,num_tlvs,tlv_types_hex,vital_count,total_packet_len
2026-06-02T14:46:14.034,21,2,0x3fc;0x3fd,0,88
2026-06-02T14:46:14.034,22,2,0x3fc;0x3fd,0,96
2026-06-02T14:46:14.249,23,1,0x3fd,0,52
2026-06-02T14:46:14.249,24,2,0x3fc;0x3fd,0,96
2026-06-02T14:46:14.451,25,2,0x3fc;0x3fd,0,96
2026-06-02T14:46:14.451,26,1,0x3fd,0,52
2026-06-02T14:46:14.451,27,1,0x3fd,0,52
2026-06-02T14:46:14.666,28,2,0x3fc;0x3fd,0,488
2026-06-02T14:46:14.666,29,2,0x3fc;0x3fd,0,104
2026-06-02T14:46:14.867,30,2,0x3fc;0x3fd,0,88
2026-06-02T14:46:14.867,31,2,0x3fc;0x3fd,0,336
2026-06-02T14:46:15.084,32,3,0x3fc;0x3fd;0x410,1,480
2026-06-02T14:46:15.085,33,2,0x3fc;0x3fd,0,96
2026-06-02T14:46:15.085,34,1,0x3fd,0,52
2026-06-02T14:46:15.287,35,1,0x3fd,0,52
2026-06-02T14:46:15.287,36,2,0x3fc;0x3fd,0,200
2026-06-02T14:46:15.490,37,1,0x3fd,0,52
2026-06-02T14:46:15.490,38,2,0x3fc;0x3fd,0,104
2026-06-02T14:46:15.693,39,1,0x3fd,0,52
2026-06-02T14:46:15.693,40,1,0x3fd,0,52
2026-06-02T14:46:15.895,41,2,0x3fc;0x3fd,0,144
2026-06-02T14:46:15.895,42,2,0x3fc;0x3fd,0,200
2026-06-02T14:46:15.895,43,1,0x3fd,0,52
2026-06-02T14:46:16.111,44,2,0x3fc;0x3fd,0,120
2026-06-02T14:46:16.111,45,2,0x3fc;0x3fd,0,424
2026-06-02T14:46:16.313,46,1,0x3fd,0,52
2026-06-02T14:46:16.313,47,1,0x3fd,0,52
2026-06-02T14:46:16.516,48,2,0x3fd;0x410,1,196
2026-06-02T14:46:16.517,49,2,0x3fc;0x3fd,0,120
2026-06-02T14:46:16.517,50,2,0x3fc;0x3fd,0,88
2026-06-02T14:46:16.717,51,2,0x3fc;0x3fd,0,104
2026-06-02T14:46:16.717,52,2,0x3fc;0x3fd,0,88
2026-06-02T14:46:16.920,53,2,0x3fc;0x3fd,0,112
2026-06-02T14:46:16.920,54,2,0x3fc;0x3fd,0,88
2026-06-02T14:46:17.124,55,2,0x3fc;0x3fd,0,112
2026-06-02T14:46:17.124,56,2,0x3fc;0x3fd,0,368
2026-06-02T14:46:17.327,57,2,0x3fc;0x3fd,0,112
2026-06-02T14:46:17.327,58,2,0x3fc;0x3fd,0,96
2026-06-02T14:46:17.529,59,2,0x3fc;0x3fd,0,280
2026-06-02T14:46:17.529,60,2,0x3fc;0x3fd,0,528
2026-06-02T14:46:17.529,61,2,0x3fc;0x3fd,0,504
2026-06-02T14:46:17.732,62,2,0x3fc;0x3fd,0,136
2026-06-02T14:46:17.732,63,2,0x3fc;0x3fd,0,208
2026-06-02T14:46:17.934,64,3,0x3fc;0x3fd;0x410,1,352
2026-06-02T14:46:17.934,65,2,0x3fc;0x3fd,0,112
2026-06-02T14:46:18.136,66,2,0x3fc;0x3fd,0,120
2026-06-02T14:46:18.136,67,2,0x3fc;0x3fd,0,104
