system_time_iso,elapsed_s,frame_number,target_id,range_bin,breathing_deviation,heart_rate_raw_bpm,breathing_rate_raw_bpm,heart_rate_filtered_bpm,breathing_rate_filtered_bpm,filter_valid,filter_reason,parser_variant,tlv_length,heart_circular_buffer_json,breath_circular_buffer_json
2026-06-02T14:46:15.084,1.261,32,0,15,0.001246,50.223,0.000,,,0,zero_value_from_firmware,u16_id_range_primary,136,"[0.04000220547119777,0.04000220547119777,0.04000220547119777,0.04000220547119777,0.04000220547119777,0.05194488267103831,0.11382115731636683,-0.0871389721830686,-0.12718840589125952,0.1376895839969317,0.23640590260426203,0.4058119143048922,-0.13113238563140234,-0.6095099662741025,-0.19071473826964697]","[-0.035893365492423376,-0.035893365492423376,-0.035893365492423376,-0.035893365492423376,-0.035893365492423376,-0.0036446263392766326,0.06256791229049365,0.09170229757825533,0.09892119492093722,-0.018342420210440954,-0.06745766078432401,-0.05421845590074857,0.010440007100502649,0.04705996836225192,0.012438610444466272]"
2026-06-02T14:46:16.516,2.693,48,0,15,0.001540,63.616,15.067,63.616,15.067,1,ok,u16_id_range_primary,136,"[0.007170346503456434,0.06044298217942317,-0.1113347057874004,-0.14251750900099674,0.06852605746438106,0.15395331190278133,0.3548960815494259,-0.13225905789683262,-0.6171799768383305,-0.2552478183681766,0.46264327870061,0.5051825176303585,-0.11987568630526463,-0.14340546919653813,-0.09099435253689686]","[0.007331734895706175,0.06403110027313233,0.09049413204193116,0.09987460672855378,-0.008654126524925233,-0.054181793332099916,-0.038269975781440736,0.03129761517047882,0.07203613817691804,0.03844462931156158,0.035467317700386046,-0.04013265073299408,-0.08940971791744232,-0.1004004567861557,-0.10792855322360992]"
2026-06-02T14:46:17.934,4.111,64,0,15,0.002053,50.223,16.741,56.756,15.924,1,ok,u16_id_range_primary,136,"[0.10676664412021637,0.3291665941476822,-0.12495475709438324,-0.605452474951744,-0.280691859126091,0.42411947548389434,0.4793408542871475,-0.14465561211109162,-0.15130552351474763,-0.09621399343013763,-0.2729057937860489,-0.1406603127717972,0.1484622985124588,0.2643463045358658,0.06463815569877625]","[-0.015173830091953278,0.0024216994643211365,0.07453610748052597,0.1175805851817131,0.0846722349524498,0.08535214513540268,0.007379196584224701,-0.043686069548130035,-0.05580005794763565,-0.06356073170900345,-0.03200847655534744,-0.04106811434030533,-0.026602961122989655,-0.06416004151105881,-0.029881685972213745]"
2026-06-02T14:46:19.354,5.531,80,0,15,0.004977,61.942,15.067,58.622,15.616,1,ok,u16_id_range_primary,136,"[0.40627419799566267,0.46973332613706587,-0.15188539177179336,-0.14910710006952285,-0.09279754161834716,-0.2780452981591225,-0.1535082772374153,0.14154618829488755,0.2718626245856285,0.06339408308267594,-0.02847638875246048,-0.17264652401208877,-0.30000153332948687,-0.33322525173425677,0.30688288658857343]","[0.04384603972236316,-0.03541448836525281,-0.08740309004982312,-0.1000916672249635,-0.10790288572510083,-0.07538831358154614,-0.08591598396499951,-0.07211715107162793,-0.11069423084457715,-0.0747727540632089,-0.02787796159585317,0.12719252581397691,0.19478469962875047,0.20840194697181383,0.2033533143500487]"
2026-06-02T14:46:20.784,6.960,96,0,15,0.007722,60.268,16.741,59.101,15.943,1,ok,u16_id_range_primary,136,"[-0.2550631105899811,-0.14709245562553405,0.15721959471702576,0.31691727638244627,0.09277225136756898,-0.02402474880218506,-0.1718505561351776,-0.2638961911201477,-0.27948960065841677,0.3297711670398712,0.5078913331031799,-0.0961199939250946,-0.2761466145515442,-0.027124458551406862,0.13623610734939576]","[-0.06527037719885509,-0.07863689760367076,-0.06607769231001537,-0.10605174104372661,-0.06675963650147121,-0.01977618585030238,0.1315852125485738,0.1972786953051885,0.21121220489343007,0.21081416507562,0.13993720908959706,0.06002252002557119,-0.10685260395208995,-0.19894440273443859,-0.24248046974341075]"
2026-06-02T14:46:22.201,8.378,112,0,44,0.033463,50.223,13.393,59.101,15.943,0,range_out_of_bounds_1.76m,u16_id_range_primary,136,"[-0.08763571232557296,-0.3473385736346245,-0.3577436372637749,-0.2060396835207939,0.4496042564511299,0.601824326813221,-0.020032958686351778,-0.2296743854880333,-0.0356971338391304,0.10546473264694214,-0.22649724930524825,-0.19877515882253646,0.225413216650486,0.27731247097253797,0.04981548935174942]","[0.16183871626853943,0.2985637545585632,0.3395828068256378,0.324809318780899,0.2978478133678436,0.19991678595542908,0.09692532420158387,-0.0894717514514923,-0.19572418332099914,-0.24893694519996643,-0.27367144227027895,-0.2521358072757721,-0.2253258764743805,-0.19009094834327697,-0.2441275656223297]"
2026-06-02T14:46:23.633,9.810,128,0,44,0.067730,50.223,16.741,59.101,15.943,0,range_out_of_bounds_1.76m,u16_id_range_primary,136,"[0.4852677007516225,-0.2072870413462321,-0.27603161136309307,0.054994823535283406,0.21520619293053944,-0.13915091554323833,-0.13661743501822154,0.23867613275845845,0.24042533536752064,0.008865164717038472,-0.09689917961756389,0.2672412117322286,0.37806585629781086,-0.3953591565291087,-0.6373970786730448]","[0.5492932895819346,0.4292748073736827,0.21638692418734234,0.08095706502596538,-0.00018679102261860703,-0.05148922403653462,-0.05136631925900777,-0.04116951425870259,-0.01659797628720601,-0.08081935842831929,-0.23804836471875507,-0.2926999827226003,-0.2609723409016927,-0.16947709520657855,-0.07308511932690938]"
2026-06-02T14:46:25.048,11.225,144,0,44,0.068571,50.223,15.067,59.101,15.943,0,range_out_of_bounds_1.76m,u16_id_range_primary,136,"[-0.19323737521966297,-0.18633229633172352,0.19938160876433056,0.19561690489451092,-0.04484648605187734,-0.14894891877969105,0.2264450083176295,0.3367722521225611,-0.44261844058831534,-0.6901466061671575,0.07702859143416087,0.582628924647967,0.2874267886082331,-0.06351519723733266,-0.1356547584136327]","[-0.01860164801279704,-0.018746964136759442,-0.00855218569437663,0.017802365620930988,-0.04720102945963542,-0.20425151983896891,-0.2594281653563182,-0.2280475119749705,-0.13502817551294963,-0.039861849943796795,0.058571942647298175,0.15068221886952718,0.21800244649251302,0.2549917181332906,0.2596683581670125]"
2026-06-02T14:46:26.481,12.658,160,0,35,0.082754,56.919,15.067,59.101,15.943,0,transient_bin_jump_gating,u16_id_range_primary,136,"[0.3343625927964846,0.512785908083121,0.33766400466362634,-0.4895574485262235,-0.847606543203195,-0.15093231548865638,0.49106901536385217,0.33282091865936914,-0.002397659917672476,-0.09253406872351964,-0.10023448218901952,-0.11736277838548025,-0.22828039874633155,-0.1723604237039884,0.1925636793176333]","[-0.3206243981917699,-0.30673150916894276,-0.23288779159386952,-0.12082021137078604,-0.029287027319272366,0.05142684082190195,0.11787219146887461,0.1567182073990504,0.1658015380303065,0.14407436350981395,0.13018978933493297,0.13338067928949993,0.09467388490835825,0.03450895647207895,-0.018295513590176907]"
2026-06-02T14:46:27.917,14.093,176,0,35,0.051728,56.919,10.045,59.101,15.943,0,transient_bin_jump_gating,u16_id_range_primary,136,"[-0.16871508608261743,0.49522737016280494,0.3433027600248655,0.0002347265680631011,-0.09769311199585597,-0.10253281543652217,-0.11665746966997782,-0.2386471594373385,-0.18872168312470117,0.18589005221923194,0.3001268242796262,0.014665070672829947,-0.30090364466110864,-0.23109686026970544,0.10552102675040563]","[-0.026904822389284766,0.045991181333859765,0.09133458038171133,0.1064139594634374,0.08853781123956045,0.0783605565627416,0.08514749904473623,0.04954937001069387,-0.010312692324320472,-0.06384816865126292,-0.09229657153288523,-0.06879821519056956,-0.08921137551466624,-0.08107024530569712,-0.1128928671280543]"
